	entry_ac	go_id	go_descr
8713	Q9NZC7	0005737	cytoplasm
8714	Q9NZC7	0005829	cytosol
8715	Q9NZC7	0005794	Golgi apparatus
8716	Q9NZC7	0005739	mitochondrion
8717	Q9NZC7	0005654	nucleoplasm
8718	Q9NZC7	0005634	nucleus
8719	Q9NZC7	0090575	RNA polymerase II transcription factor complex
8720	Q9NZC7	0050662	coenzyme binding
8721	Q9NZC7	0048037	cofactor binding
8722	Q9NZC7	0019899	enzyme binding
8723	Q9NZC7	0016491	oxidoreductase activity
8724	Q9NZC7	0046983	protein dimerization activity
8725	Q9NZC7	0003713	transcription coactivator activity
8726	Q9NZC7	0071560	cellular response to transforming growth factor beta stimulus
8727	Q9NZC7	0097191	extrinsic apoptotic signaling pathway
8728	Q9NZC7	0072332	intrinsic apoptotic signaling pathway by p53 class mediator
8729	Q9NZC7	0000122	negative regulation of transcription by RNA polymerase II
8730	Q9NZC7	0030178	negative regulation of Wnt signaling pathway
8731	Q9NZC7	0001649	osteoblast differentiation
8732	Q9NZC7	0055114	oxidation-reduction process
8733	Q9NZC7	2001238	positive regulation of extrinsic apoptotic signaling pathway
8734	Q9NZC7	2001241	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand
8735	Q9NZC7	0045944	positive regulation of transcription by RNA polymerase II
8736	Q9NZC7	0048705	skeletal system morphogenesis
8737	Q9NZC7	0008202	steroid metabolic process
8738	Q9NZC7	0016055	Wnt signaling pathway
9645	Q9GZV5	0005737	cytoplasm
9646	Q9GZV5	0005829	cytosol
9647	Q9GZV5	0016604	nuclear body
9648	Q9GZV5	0005654	nucleoplasm
9649	Q9GZV5	0005634	nucleus
9650	Q9GZV5	0005667	transcription factor complex
9651	Q9GZV5	0042803	protein homodimerization activity
9652	Q9GZV5	0003713	transcription coactivator activity
9653	Q9GZV5	0003714	transcription corepressor activity
9654	Q9GZV5	0060271	cilium assembly
9655	Q9GZV5	0032835	glomerulus development
9656	Q9GZV5	0003015	heart process
9657	Q9GZV5	0035329	hippo signaling
9658	Q9GZV5	0060993	kidney morphogenesis
9659	Q9GZV5	0048762	mesenchymal cell differentiation
9660	Q9GZV5	0035264	multicellular organism growth
9661	Q9GZV5	0090090	negative regulation of canonical Wnt signaling pathway
9662	Q9GZV5	0045599	negative regulation of fat cell differentiation
9663	Q9GZV5	0006469	negative regulation of protein kinase activity
9664	Q9GZV5	0001933	negative regulation of protein phosphorylation
9665	Q9GZV5	0000122	negative regulation of transcription by RNA polymerase II
9666	Q9GZV5	0001649	osteoblast differentiation
9667	Q9GZV5	0008284	positive regulation of cell population proliferation
9668	Q9GZV5	0010718	positive regulation of epithelial to mesenchymal transition
9669	Q9GZV5	0045944	positive regulation of transcription by RNA polymerase II
9670	Q9GZV5	0016567	protein ubiquitination
9671	Q9GZV5	0072307	regulation of metanephric nephron tubule epithelial cell differentiation
9672	Q9GZV5	0060390	regulation of SMAD protein signal transduction
9673	Q9GZV5	0006355	regulation of transcription, DNA-templated
9674	Q9GZV5	0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
9675	Q9GZV5	0017145	stem cell division
9676	Q9GZV5	0001894	tissue homeostasis
9677	Q9GZV5	0006367	transcription initiation from RNA polymerase II promoter
27388	P31947	0005829	cytosol
27389	P31947	0070062	extracellular exosome
27390	P31947	0005615	extracellular space
27391	P31947	0005739	mitochondrion
27392	P31947	0005634	nucleus
27393	P31947	0045296	cadherin binding
27394	P31947	0042802	identical protein binding
27395	P31947	0051219	phosphoprotein binding
27396	P31947	0019904	protein domain specific binding
27397	P31947	0019901	protein kinase binding
27398	P31947	0008426	protein kinase C inhibitor activity
27399	P31947	0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
27400	P31947	0061436	establishment of skin barrier
27401	P31947	0008630	intrinsic apoptotic signaling pathway in response to DNA damage
27402	P31947	0031424	keratinization
27403	P31947	0003334	keratinocyte development
27404	P31947	0061024	membrane organization
27405	P31947	0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
27406	P31947	0010839	negative regulation of keratinocyte proliferation
27407	P31947	0006469	negative regulation of protein kinase activity
27408	P31947	0030307	positive regulation of cell growth
27409	P31947	0045606	positive regulation of epidermal cell differentiation
27410	P31947	0046827	positive regulation of protein export from nucleus
27411	P31947	1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
27412	P31947	0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
27413	P31947	0010482	regulation of epidermal cell division
27414	P31947	0001836	release of cytochrome c from mitochondria
27415	P31947	0007165	signal transduction
29487	O15105	0005813	centrosome
29488	O15105	0005737	cytoplasm
29489	O15105	0005829	cytosol
29490	O15105	0001650	fibrillar center
29491	O15105	0000790	nuclear chromatin
29492	O15105	0005654	nucleoplasm
29493	O15105	0005634	nucleus
29494	O15105	0005886	plasma membrane
29495	O15105	0032991	protein-containing complex
29496	O15105	0005667	transcription factor complex
29497	O15105	0048185	activin binding
29498	O15105	0008013	beta-catenin binding
29499	O15105	0005518	collagen binding
29500	O15105	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
29501	O15105	0070411	I-SMAD binding
29502	O15105	0046872	metal ion binding
29503	O15105	0044212	transcription regulatory region DNA binding
29504	O15105	0030617	transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity
29505	O15105	0034713	type I transforming growth factor beta receptor binding
29506	O15105	0031625	ubiquitin protein ligase binding
29507	O15105	0034333	adherens junction assembly
29508	O15105	0048844	artery morphogenesis
29509	O15105	0030509	BMP signaling pathway
29510	O15105	0034629	cellular protein-containing complex localization
29511	O15105	1990830	cellular response to leukemia inhibitory factor
29512	O15105	0071560	cellular response to transforming growth factor beta stimulus
29513	O15105	0030514	negative regulation of BMP signaling pathway
29514	O15105	0030336	negative regulation of cell migration
29515	O15105	0043433	negative regulation of DNA-binding transcription factor activity
29516	O15105	0010719	negative regulation of epithelial to mesenchymal transition
29517	O15105	0060394	negative regulation of pathway-restricted SMAD protein phosphorylation
29518	O15105	0033137	negative regulation of peptidyl-serine phosphorylation
29519	O15105	0010801	negative regulation of peptidyl-threonine phosphorylation
29520	O15105	0031397	negative regulation of protein ubiquitination
29521	O15105	0002725	negative regulation of T cell cytokine production
29522	O15105	2000320	negative regulation of T-helper 17 cell differentiation
29523	O15105	2000317	negative regulation of T-helper 17 type immune response
29524	O15105	0010944	negative regulation of transcription by competitive promoter binding
29525	O15105	0000122	negative regulation of transcription by RNA polymerase II
29526	O15105	0030512	negative regulation of transforming growth factor beta receptor signaling pathway
29527	O15105	0051444	negative regulation of ubiquitin-protein transferase activity
29528	O15105	0060389	pathway-restricted SMAD protein phosphorylation
29529	O15105	0022409	positive regulation of cell-cell adhesion
29530	O15105	0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
29531	O15105	0031398	positive regulation of protein ubiquitination
29532	O15105	0045944	positive regulation of transcription by RNA polymerase II
29533	O15105	0016579	protein deubiquitination
29534	O15105	0050821	protein stabilization
29535	O15105	0032925	regulation of activin receptor signaling pathway
29536	O15105	0055117	regulation of cardiac muscle contraction
29537	O15105	0010717	regulation of epithelial to mesenchymal transition
29538	O15105	0017015	regulation of transforming growth factor beta receptor signaling pathway
29539	O15105	0060373	regulation of ventricular cardiac muscle cell membrane depolarization
29540	O15105	0034616	response to laminar fluid shear stress
29541	O15105	0007179	transforming growth factor beta receptor signaling pathway
29542	O15105	0001657	ureteric bud development
29543	O15105	0055010	ventricular cardiac muscle tissue morphogenesis
29544	O15105	0060412	ventricular septum morphogenesis
49616	Q9HCE7	0030424	axon
49617	Q9HCE7	0005623	cell
49618	Q9HCE7	0005737	cytoplasm
49619	Q9HCE7	0005829	cytosol
49620	Q9HCE7	0070062	extracellular exosome
49621	Q9HCE7	0043025	neuronal cell body
49622	Q9HCE7	0005654	nucleoplasm
49623	Q9HCE7	0005886	plasma membrane
49624	Q9HCE7	0048185	activin binding
49625	Q9HCE7	0070411	I-SMAD binding
49626	Q9HCE7	0005543	phospholipid binding
49627	Q9HCE7	0070412	R-SMAD binding
49628	Q9HCE7	0061630	ubiquitin protein ligase activity
49629	Q9HCE7	0004842	ubiquitin-protein transferase activity
49630	Q9HCE7	0030509	BMP signaling pathway
49631	Q9HCE7	0030154	cell differentiation
49632	Q9HCE7	0007398	ectoderm development
49633	Q9HCE7	0061736	engulfment of target by autophagosome
49634	Q9HCE7	0030514	negative regulation of BMP signaling pathway
49635	Q9HCE7	0030279	negative regulation of ossification
49636	Q9HCE7	0030512	negative regulation of transforming growth factor beta receptor signaling pathway
49637	Q9HCE7	0061734	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
49638	Q9HCE7	1903861	positive regulation of dendrite extension
49639	Q9HCE7	0045732	positive regulation of protein catabolic process
49640	Q9HCE7	2000060	positive regulation of ubiquitin-dependent protein catabolic process
49641	Q9HCE7	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
49642	Q9HCE7	0006611	protein export from nucleus
49643	Q9HCE7	0034394	protein localization to cell surface
49644	Q9HCE7	0072659	protein localization to plasma membrane
49645	Q9HCE7	0000209	protein polyubiquitination
49646	Q9HCE7	0071211	protein targeting to vacuole involved in autophagy
49647	Q9HCE7	0016567	protein ubiquitination
49648	Q9HCE7	0032801	receptor catabolic process
49649	Q9HCE7	0061753	substrate localization to autophagosome
49650	Q9HCE7	0007179	transforming growth factor beta receptor signaling pathway
49651	Q9HCE7	0006511	ubiquitin-dependent protein catabolic process
49652	Q9HCE7	0030579	ubiquitin-dependent SMAD protein catabolic process
